id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
TANG_3270,"Tangerina encore Nacional  (500 gr)","Valor Nutritivo:
Assim como a maioria das frutas cítricas, encontramos grandes quantidades de vitaminas A, B e C na tangerina, além de minerais como cálcio, potássio, fósforo, sódio e ferro.
 
Conservação: 
Escolha as tangerinas com textura firme e pesadas. Mantenha-as à temperatura ambiente durante cerca de três dias. No frigorífico conserva-se cerca de uma semana. Não deve ser congelada.
 
Uso culinário:
Geralmente a tangerina é consumida por inteiro, como sobremesa, por exemplo. Partes de seu gomo podem ser encontradas em doces e até mesmo no meio de saladas. Sabia que, com as suas folhas, é possível fazer chás calmantes e, com a sua casca, doces e óleos essenciais.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/2673587.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/tangerina/,"Frutas","A Cesta Portuguesa",1.29EUR,in stock,TANG_3270,https://www.cestaportuguesa.pt/cart/?add-to-cart=3270,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pexels-photo-3903202.jpeg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pexels-photo-327098.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.29EUR,new,published,,
PHYS_3266,"Physalis (100 gr)","Valor Nutritivo:
O fruto é uma fonte rica de flavonoides, fitoesteróis e physalinas. Apresenta altos teores de vitaminas A, B, C, ácidos graxos, aminoácidos essenciais, lipídios e compostos bioativos considerados funcionais. São ricos em ferro e fósforo.
 
Conservação: 
Toda a fruta in natura deve ser consumida rapidamente. Em média a Physalis orgânica dura até 30 dias em ambiente seco e fresco. A Physalis pode ser congelada retirando a palha que a preotege e assim conserva as suas propriedades por cerca de um ano.
 
Uso culinário:
A physalis é consumida in natura e é muito apreciada. Pode simplesmente ser banhada em chocolate ou envolvida em chantilly. Fica igualmente deliciosa em compotas, doces, geleias, gelados, licores, saladas, molhos, cozidos, assados e como frutas secas.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/Physalis.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/physalis/,"Frutas","A Cesta Portuguesa",2.8EUR,out of stock,PHYS_3266,https://www.cestaportuguesa.pt/cart/?add-to-cart=3266,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2.8EUR,new,published,,
PER_ROC_3260,"Pêra Rocha (500 gr)","Valor Nutritivo:
A pêra é muito apreciada pelas suas propriedades nutritivas e pelo delicado sabor. Ideal para dietas, tem baixo valor calórico. É rica em sais minerais como o sódio, potássio, ferro, magnésio e cálcio. Contém quantidades razoáveis de vitaminas B1, B2 e niacina, todas do complexo B, que regulam o sistema nervoso e o aparelho digestivo.
 
Conservação: 
O ideal é comprar pronta a consumir, caso contrário conserve-a em local fresco e seco, mas não a coloque no frigorifico. Uma dica para que a fruta não escureça depois de cortada é respingar limão.
 
Uso culinário: 
É uma fruta rica em fibras, contribuindo, se consumida in natura, para o bom funcionamento intestinal. Na culinária, é utilizada para a fazer geleias, compotas, gelados e outros doces.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pera-rocha.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/pera-rocha/,"Frutas","A Cesta Portuguesa",1.1EUR,in stock,PER_ROC_3260,https://www.cestaportuguesa.pt/cart/?add-to-cart=3260,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.1EUR,new,published,,
NESP_3255,"Nêspera (500 gr)","Valor Nutritivo:
Nutricionalmente falando, a sua cor alaranjada provém do beta caroteno, um antioxidante poderoso que protege as células de agressões exteriores e pode melhorar a função do sistema imunitário. A nêspera possui boas quantidades de vitamina C e , principalmente, Vitamina A. Ela é rica em minerais como, por exemplo, potássio, ferro, cobre, manganês e magnésio.
 
Conservação: 
Pelo facto de ser uma fruta sensível, tem uma vida pós-colheita curta, pelo que deve ser consumida logo após a sua apanha e sobretudo fresca, para aproveitar todos os seus nutrientes. Contudo, à temperatura ambiente conserva-se entre 6 a 9 dias e no frigorífico até 15 dias.
 
Uso culinário: 
Pura, podendo ser combinada com outras frutas frescas em sumos, vitaminas, gelados e saladas de fruta. A nêspera por ter a consistência firme é indicada para a confecção de compotas, recheios e coberturas de bolos e tortas doces.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/nespera.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/nespera/,"Frutas","A Cesta Portuguesa",1.79EUR,in stock,NESP_3255,https://www.cestaportuguesa.pt/cart/?add-to-cart=3255,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/nespera1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.79EUR,new,published,,
NECT_3253,"Nectarina (500 gr)","Valor Nutritivo:
Contém betacarotenos, ricas em vitaminas A, C e do complexo B, além de sais minerais como cálcio, potássio, ferro e fósforo. Tem uma maior quantidade de pectina do que os pêssegos, característica que a torna ótima para o controle dos níveis de colesterol no sangue. Das rosáceas, a nectarina é a que menos contém vitamina C.
 
Conservação: 
Armazene as nectarinas em temperatura ambiente até que amadureçam.Caso esteja pronta a consumir, coloque a nectarina madura no frigorífico. Guarde-a num saco de plástico fechado, para não perder as características.
 
Uso culinário: 
A melhor maneira de consumir a nectarina é pura, de preferência orgânica e com a casca. Mas pode colocá-la em iogurtes, fazer sumos ou smoothies com esta fruta, acrescentá-la em bolos e outras receitas, e até mesmo em saladas, colocar pedaços de nectarina vai dar cor, sabor e saúde ao prato.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/nectarina.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/nectarina/,"Frutas","A Cesta Portuguesa",1.79EUR,in stock,NECT_3253,https://www.cestaportuguesa.pt/cart/?add-to-cart=3253,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.79EUR,new,published,,
MORANG_3250,"Morangos (500g)","Valor Nutritivo: 
Rico em vitaminas como, por exemplo, vitamina C, A, E, B5 e B6. Os principais minerais presentes no morango são o Cálcio, Potássio, Ferro, Selênio e Magnésio. Os morangos também são ricos em flavonoides, importante agente antioxidante no organismo dos seres humanos. 
  
 
Conservação:  
Por ser um fruto muito sensível não deve ser armazenado por mais de 3 dias no frigorífico, sem que tenha sido previamente lavado, uma vez que, a água favorece o apodrecimento. 
  
 
Uso culinário:  
O morango é muito consumido ao natural, mas também em gelados, sobremesas, bolos, doces e compotas. Além disto, é muito usado em produtos de cosmética e de higiene.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/morango1.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/morangos/,"Frutas","A Cesta Portuguesa",2.1EUR,in stock,MORANG_3250,https://www.cestaportuguesa.pt/cart/?add-to-cart=3250,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/morangos-1.jpg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pexels-photo-1788912.jpeg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pexels-photo-2694788.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2.1EUR,new,published,,
MELOA_3244,"Meloa Gália Nacional  (1 unidade)","Valor Nutritivo:
A meloa é constituída principalmente por água e tem um valor energético baixo. Tem um elevado teor em potássio e é uma importante fonte de vitamina C e carotenos, em especial a zeaxantina. As variedades com uma coloração de polpa laranja ou amarela são mais ricas nestas vitaminas do que as mais claras.
 
Conservação: 
Este fruto deve ser conservado em lugar fresco e arejado até ficarem completamente maduros. No caso de já estarem maduros, o melhor será guardá-los no frigorífico, onde se manterão conservados por mais algum tempo. Depois de cortados, coloque-os no frigorífico cobertos, por exemplo, com uma película aderente, onde se mantêm cerca de 1 a 3 dias.
 
Uso culinário: 
A meloa é preferencialmente consumida ao natural. Contudo há quem utilize em doces, gelados, iogurtes e saladas.
 
Curiosidade: 
A meloa é um alimento muito bom para quem quer perder peso, visto ter um baixo valor energético e uma grande quantidade de água e fibra, que ajuda a regular o apetite.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/meloa.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/meloa/,"Frutas","A Cesta Portuguesa",3.9EUR,in stock,MELOA_3244,https://www.cestaportuguesa.pt/cart/?add-to-cart=3244,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/meloa1.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3.9EUR,new,published,,
MELAO_3241,"Melão Verde (1 unidade)","Valor Nutritivo:  
O melão tem muitos nutrientes incluindo cálcio, vitamina C, vitamina A e as vitaminas do Complexo B, que dão muita energia.
 
Conservação: 
Deve ser conservado num local fresco e arejado. Depois de aberto deve colocar o melão no frigorífico, dentro de um recipiente bem fechado.
 
Uso culinário:
Pode ser consumido ao natural ou então em saladas e sumos bem frescos.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/melao-1.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/melao-branco/,"Frutas","A Cesta Portuguesa",5.99EUR,in stock,MELAO_3241,https://www.cestaportuguesa.pt/cart/?add-to-cart=3241,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/melão.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5.99EUR,new,published,,
MELANC_3238,"Melancia (1 Kg)","Valor Nutritivo:  
A melancia é uma deliciosa fruta com muita água, rica em potássio e magnésio, que faz dela um excelente diurético natural. Esta fruta apresenta efeitos benéficos no equilíbrio de líquidos, ajudando a prevenir a retenção de água e a promover uma pele bem hidratada e jovem.
A melancia é composta por 92% de água e apenas 6% de açúcar, que é uma pequena quantidade que não afeta negativamente os níveis de açúcar no sangue e, por isso, é uma boa opção para incluir na dieta.
 
Conservação: 
Deve ser conservada num local fresco e arejado. Depois de estar aberta deve colocar a melancia no frigorífico, dentro de um recipiente bem fechado.
 
Uso culinário:
A Melancia, é tradicionalmente uma fruta que é mais consumida ao natural. Pode também fazer um delicioso sumo ou gelado.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/melancia.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/melancia/,"Frutas","A Cesta Portuguesa",2.3EUR,in stock,MELANC_3238,https://www.cestaportuguesa.pt/cart/?add-to-cart=3238,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pexels-photo-128598.jpeg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/pexels-photo-1398655.jpeg,https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/fruit-melon-watermelon.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2.3EUR,new,published,,
LIMAO_3236,"Limão (1 Kg)","Valor Nutritivo:
Rico em vitamina C, o limão ajuda a fortalecer as defesas do corpo para prevenir várias doenças. Também é uma boa fonte de potássio, magnésio, cálcio e fósforo. O limão ainda possui várias propriedades benéficas ao organismo, tais como: bom para a circulação (redução da pressão arterial), ajuda a digestão, previne alguns tipos de câncer, reduz os níveis de colesterol, adstringente, antibacteriano e antiviral. Utilizado como gargarejo, o limão é bom para aliviar a dor de garganta, úlceras na boca e gengivite. Além disto, o limão possui uma substância própria denominada limoneno que protege o corpo contra os efeitos destrutivos dos radicais livres.
 
Conservação:
Para consumo em poucos dias após a compra, coloque-os em um lugar onde não recebam luz solar direta. Geralmente, eles ficam frescos durante uma semana à temperatura ambiente. Depois desse prazo, começam a enrugar, perder o brilho e apresentar pontos moles ou duros.
Pode guardá-los no frigorífico. Para isso coloque-os num saco hermético e tire o máximo de ar possível. Nesse estado, o limão pode preservar o suco e o sabor até quatro semanas. A temperatura ideal de armazenamento de limões maduros é entre 5 ºC e 10 ºC. Na maioria dos frigoríficos, as prateleiras centrais ou as da porta têm mais ou menos essas temperaturas.
 
Uso culinário:
As suas aplicações na vida doméstica são inúmeras. Com o suco da fruta, preparam-se refrigerantes, sorvetes, molhos e aperitivos, bem como remédios, xaropes e produtos de limpeza. Da casca, retira-se uma essência aromática usada em perfumaria e no preparo de licores e sabões.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/Limao.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/limao/,"Frutas","A Cesta Portuguesa",1.5EUR,in stock,LIMAO_3236,https://www.cestaportuguesa.pt/cart/?add-to-cart=3236,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.5EUR,new,published,,
LAR_3233,"Laranja do Algarve (1 Kg)","Valor Nutritivo:  
A laranja é uma fruta com elevado teor de água e um baixo teor calórico. Além de ser rica em vitamina C, também constitui uma excelente fonte de ácido fólico, potássio e magnésio. A sua cor característica deve-se às quantidades apreciáveis de caroteno.
A laranja é também uma boa fonte de ácido cítrico, o que potencia a acção da vitamina C. A quantidade de fibra é apreciável, e esta encontra-se sobretudo entre a casca e polpa (a “parte branca” da laranja, que é muitas vezes removida).
 
Conservação: 
As laranjas que serão consumidas a curto prazo, podem ser deixadas à temperatura ambiente, no entanto, se pretende conservá-las durante mais de uma semana, deve colocá-las no frigorífico
 
Uso culinário: 
As laranjas podem ser utilizadas em sobremesas (bolos, bolachas, pudins), em saladas, na confecção de marinadas e em refrescantes sumos e gelados.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/laranja1.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/laranja/,"Frutas","A Cesta Portuguesa",2.12EUR,in stock,LAR_3233,https://www.cestaportuguesa.pt/cart/?add-to-cart=3233,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/Laranja.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2.12EUR,new,published,,
KIWI_3230,"Kiwi (500gr)","Valor Nutritivo:  
O kiwi é rico em pectina, uma fibra importante para controlar os níveis de colesterol no sangue. Contém ainda magnésio, cobre, vitamina B6, niacina, vitamina A, riboflavina, cálcio, zinco, ferro, potássio, fósforo e os aminoácidos glutamato e arginina.
 
Conservação: 
Deve ser conservado num lugar seco e arejado, com pouca exposição solar.
 
Uso culinário: 
Experimente usar kiwi em deliciosos gelados de morango com kiwi, que as crianças vão adorar, fazer uma fresquíssima salada verde, perfeita para os dias mais quentes.",https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/Kiwi.jpg,https://www.cestaportuguesa.pt/loja-online/produtos/kiwi/,"Frutas","A Cesta Portuguesa",1.85EUR,in stock,KIWI_3230,https://www.cestaportuguesa.pt/cart/?add-to-cart=3230,"https://www.cestaportuguesa.pt/wp-content/uploads/2020/04/kiwi1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.85EUR,new,published,,
